Date,SPY,QQQ,GLD,VEQT
2019-02-07,242.2843780517578,160.80133056640625,123.73999786376952,22.838876724243164
2019-02-08,242.58041381835935,161.11676025390625,124.20999908447266,22.78481674194336
2019-02-11,242.71481323242188,160.96380615234375,123.5999984741211,22.838876724243164
2019-02-12,245.83599853515625,163.34388732910156,123.86000061035156,22.978517532348633
2019-02-13,246.63421630859375,163.45860290527344,123.37000274658205,23.010055541992188
2019-02-14,246.0871734619141,163.6593017578125,124.05999755859376,23.082130432128903
2019-02-15,248.768798828125,164.3474884033203,124.8000030517578,23.244298934936523
2019-02-19,249.19935607910156,164.6725311279297,126.6999969482422,23.32538604736328
2019-02-20,249.7016143798828,164.6438446044922,126.4800033569336,23.37042999267578
2019-02-21,248.81375122070312,164.04159545898438,125.0500030517578,23.316375732421875
2019-02-22,250.35630798339844,165.25555419921875,125.5,23.3524112701416
2019-02-25,250.69715881347656,165.8577423095703,125.37000274658205,23.49656105041504
2019-02-26,250.51776123046875,166.02976989746094,125.58000183105467,23.487550735473633
2019-02-27,250.41014099121097,165.9246368408203,124.69000244140624,23.4425048828125
2019-02-28,249.94378662109375,165.54232788085938,123.98999786376952,23.361421585083008
2019-03-01,251.50433349609375,166.6893310546875,121.87999725341795,23.65873336791992
2019-03-04,250.5894775390625,166.71798706054688,121.55999755859376,23.577648162841797
2019-03-05,250.24859619140625,166.84228515625,121.72000122070312,23.685762405395508
2019-03-06,248.73291015625,165.89596557617188,121.61000061035156,23.694766998291016
2019-03-07,246.65216064453125,163.86004638671875,121.51000213623048,23.49656105041504
2019-03-08,246.1588897705078,163.6115264892578,122.83999633789062,23.361421585083008
2019-03-11,249.7284240722656,167.0143280029297,122.23999786376952,23.667741775512695
2019-03-12,250.6702117919922,167.93190002441406,122.9800033569336,23.640714645385746
2019-03-13,252.32945251464844,169.19363403320312,123.83999633789062,23.694766998291016
2019-03-14,252.1680145263672,168.9069061279297,122.41000366210938,23.67675018310547
2019-03-15,253.4138336181641,170.47447204589844,122.97000122070312,23.829910278320312
2019-03-18,254.3327789306641,170.88046264648438,123.04000091552734,23.965051651000977
2019-03-19,254.3958282470703,171.4550323486328,123.37999725341795,23.91099548339844
2019-03-20,253.63003540039065,172.1348876953125,124.18000030517578,23.83892059326172
2019-03-21,256.4947509765625,174.82571411132812,123.68000030517578,24.10019302368164
2019-03-22,251.55816650390625,170.98582458496094,123.97000122070312,23.71278953552246
2019-03-25,251.36898803710935,170.6602783203125,124.91999816894533,23.685762405395508
2019-03-26,253.2427215576172,171.4550323486328,124.3000030517578,23.757835388183594
2019-03-27,251.91848754882812,170.3538055419922,123.6500015258789,23.766847610473633
2019-03-28,252.87339782714844,170.7464141845703,121.9000015258789,23.8569393157959
2019-03-29,254.4678649902344,172.03912353515625,122.01000213623048,23.829910278320312
2019-04-01,257.4856262207031,174.3181915283203,121.52999877929688,24.06415748596191
2019-04-02,257.61175537109375,174.97891235351562,121.9800033569336,24.10019302368164
2019-04-03,258.0171203613281,175.98439025878906,121.8000030517578,24.136232376098633
2019-04-04,258.7017517089844,175.91737365722656,122.11000061035156,24.20830345153809
2019-04-05,259.9538269042969,176.82705688476562,121.9800033569336,24.379486083984375
2019-04-08,260.1521301269531,177.2771453857422,122.51000213623048,24.307411193847656
2019-04-09,258.8188781738281,176.65467834472656,123.1500015258789,24.190288543701172
2019-04-10,259.7017822265625,177.6027374267578,123.52999877929688,24.307411193847656
2019-04-11,259.629638671875,177.18136596679688,121.9499969482422,24.33443832397461
2019-04-12,261.38629150390625,177.94744873046875,121.83000183105467,24.406511306762695
2019-04-15,261.21514892578125,177.97618103027344,121.5999984741211,24.47859001159668
2019-04-16,261.38629150390625,178.58901977539062,120.51000213623048,24.47859001159668
2019-04-17,260.7467041015625,179.21139526367188,120.27999877929688,24.48760223388672
2019-04-18,261.2601623535156,179.44122314453125,120.37000274658205,24.55967140197754
2019-04-22,261.4852600097656,179.94879150390625,120.37000274658205,24.505617141723633
2019-04-23,263.8365478515625,182.23741149902344,120.12000274658205,24.676795959472656
2019-04-24,263.2509460449219,181.662841796875,120.47000122070312,24.730854034423828
2019-04-25,263.0888671875,182.4001617431641,120.56999969482422,24.685806274414062
2019-04-26,264.31396484375,182.56297302246097,121.37000274658205,24.712833404541016
2019-04-29,264.7283935546875,182.91729736328125,120.83000183105467,24.73986434936523
2019-04-30,264.86346435546875,181.5000457763672,121.1999969482422,24.685806274414062
2019-05-01,262.8726501464844,180.9159393310547,120.4000015258789,24.622739791870117
2019-05-02,262.30511474609375,180.13072204589844,119.94000244140624,24.5506649017334
2019-05-03,264.8724365234375,183.00344848632812,120.6500015258789,24.69481658935547
2019-05-06,263.782470703125,181.88308715820312,120.80999755859376,24.622739791870117
2019-05-07,259.3774719238281,178.34005737304688,121.20999908447266,24.29840087890625
2019-05-08,259.0171203613281,177.8899688720703,120.91000366210938,24.343446731567383
2019-05-09,258.2333679199219,176.93240356445312,121.1999969482422,24.190288543701172
2019-05-10,259.53045654296875,177.1526336669922,121.43000030517578,24.154251098632812
2019-05-13,253.00843811035156,171.00498962402344,122.66999816894533,23.73981475830078
2019-05-14,255.2965545654297,172.8818359375,122.45999908447266,23.992082595825195
2019-05-15,256.7920227050781,175.32362365722656,122.38999938964844,24.046138763427734
2019-05-16,259.17022705078125,177.0856170654297,121.51000213623048,24.20830345153809
2019-05-17,257.4945983886719,175.27577209472656,120.6500015258789,24.073165893554688
2019-05-20,255.79212951660156,172.31686401367188,120.63999938964844,24.073165893554688
2019-05-21,258.09820556640625,174.11712646484375,120.36000061035156,24.082176208496097
2019-05-22,257.3055114746094,173.34149169921875,120.23999786376952,24.010101318359375
2019-05-23,254.16168212890625,170.68898010253906,121.16999816894533,23.78486442565918
2019-05-24,254.73806762695312,170.60276794433594,121.3000030517578,23.847929000854492
2019-05-27,254.73806762695312,170.60276794433594,121.3000030517578,23.974063873291016
2019-05-28,252.36892700195312,169.96116638183594,120.83000183105467,23.829910278320312
2019-05-29,250.6754150390625,168.56309509277344,120.87000274658205,23.685762405395508
2019-05-30,251.3599395751953,169.27174377441406,121.69000244140624,23.67675018310547
2019-05-31,247.97276306152344,166.57138061523438,123.33000183105467,23.532602310180664
2019-06-03,247.34225463867188,162.90382385253906,125.11000061035156,23.424488067626953
2019-06-04,252.711181640625,167.4906463623047,125.1500015258789,23.71278953552246
2019-06-05,254.9002990722656,168.73550415039062,125.47000122070312,23.81189346313477
2019-06-06,256.55780029296875,170.0761260986328,125.87999725341795,23.865951538085938
2019-06-07,259.12518310546875,173.36061096191406,126.58999633789062,23.920005798339844
2019-06-10,260.31427001953125,175.38108825683594,125.33000183105467,23.965051651000977
2019-06-11,260.25115966796875,175.6205291748047,125.18000030517578,24.046138763427734
2019-06-12,259.7918395996094,174.60545349121094,125.83000183105467,24.028121948242188
2019-06-13,260.86370849609375,175.6396484375,126.5999984741211,24.06415748596191
2019-06-14,260.5755310058594,174.8927459716797,126.55999755859376,24.154251098632812
2019-06-17,260.674560546875,175.94606018066406,126.4800033569336,24.17226791381836
2019-06-18,263.40411376953125,178.5028533935547,127.12000274658205,24.406511306762695
2019-06-19,263.9986877441406,179.1731719970703,127.88999938964844,24.397506713867188
2019-06-20,266.52105712890625,180.83935546875,131.11000061035156,24.451560974121097
2019-06-21,266.133544921875,180.57115173339844,131.97999572753906,24.397506713867188
2019-06-24,265.8077697753906,180.5769805908203,133.94000244140625,24.343446731567383
2019-06-25,263.2006530761719,177.4771270751953,134.1999969482422,24.14524269104004
2019-06-26,262.9382019042969,178.30250549316406,132.97000122070312,24.055147171020508
2019-06-27,263.8705139160156,178.98387145996094,132.83999633789062,24.091184616088867
2019-06-28,265.2283630371094,179.21421813964844,133.1999969482422,24.190288543701172
2019-07-01,267.6362609863281,181.6325836181641,130.6199951171875,24.190288543701172
2019-07-02,268.333251953125,182.35243225097656,133.41000366210938,24.424531936645508
2019-07-03,270.47869873046875,183.7248382568359,133.6300048828125,24.58670234680176
2019-07-04,270.47869873046875,183.7248382568359,133.6300048828125,24.622739791870117
2019-07-05,270.17083740234375,183.3505096435547,132.13999938964844,24.451560974121097
2019-07-08,268.6862487792969,182.06448364257812,131.2899932861328,24.379486083984375
2019-07-09,269.021240234375,182.97622680664065,131.75,24.43354034423828
2019-07-10,270.3066101074219,184.79966735839844,133.8300018310547,24.442554473876953
2019-07-11,270.940185546875,184.665283203125,132.6999969482422,24.424531936645508
2019-07-12,272.1532897949219,185.73057556152344,133.52999877929688,24.415523529052734
2019-07-15,272.2438049316406,186.32554626464844,133.52999877929688,24.4605712890625
2019-07-16,271.3657531738281,185.3658142089844,132.39999389648438,24.451560974121097
2019-07-17,269.5191650390625,184.45413208007812,134.5800018310547,24.325429916381836
2019-07-18,270.50579833984375,184.665283203125,136.47999572753906,24.36146545410156
2019-07-19,269.0031433105469,183.31214904785156,134.47000122070312,24.33443832397461
2019-07-22,269.66387939453125,184.77084350585935,134.4499969482422,24.43354034423828
2019-07-23,271.5920715332031,185.9801025390625,133.69000244140625,24.568683624267575
2019-07-24,272.8684387207031,187.28526306152344,134.3699951171875,24.640758514404297
2019-07-25,271.56488037109375,185.5098419189453,133.4199981689453,24.514629364013672
2019-07-26,273.3843688964844,187.4196319580078,133.63999938964844,24.667787551879883
2019-07-29,272.88653564453125,186.7766265869141,134.52999877929688,24.58670234680176
2019-07-30,272.2165832519531,185.97052001953125,134.97999572753906,24.4605712890625
2019-07-31,269.23846435546875,183.3984832763672,133.2100067138672,24.38849639892578
2019-08-01,266.89398193359375,182.48681640625,136.41000366210938,24.19929313659668
2019-08-02,264.8843688964844,179.79962158203125,135.88999938964844,24.01911163330078
2019-08-05,256.9185485839844,173.44639587402344,137.7899932861328,24.01911163330078
2019-08-06,260.521240234375,175.87448120117188,138.91000366210938,23.73981475830078
2019-08-07,260.67510986328125,176.82460021972656,141.02000427246094,23.89297866821289
2019-08-08,265.7896423339844,180.6729278564453,141.72999572753906,24.109203338623047
2019-08-09,263.979248046875,178.97425842285156,141.25999450683594,23.94703483581543
2019-08-12,260.76568603515625,176.92051696777344,142.6300048828125,23.73981475830078
2019-08-13,264.8209533691406,180.7977294921875,141.77999877929688,23.974063873291016
2019-08-14,256.9909362792969,175.39462280273438,142.75,23.478546142578125
2019-08-15,257.6697998046875,175.1930694580078,143.6999969482422,23.52359390258789
2019-08-16,261.4717102050781,178.0050048828125,142.77999877929688,23.73981475830078
2019-08-19,264.6219177246094,180.8361053466797,141.11000061035156,24.03713035583496
2019-08-20,262.5941467285156,179.43496704101562,142.2100067138672,23.901987075805664
2019-08-21,264.73046875,181.02804565429688,141.75999450683594,24.01911163330078
2019-08-22,264.6490478515625,180.442626953125,141.39999389648438,24.00109100341797
2019-08-23,257.85089111328125,174.73240661621094,144.1699981689453,23.51458168029785
2019-08-26,260.70220947265625,177.37156677246094,144.19000244140625,23.631702423095703
2019-08-27,259.6793212890625,176.99728393554688,145.57000732421875,23.757835388183594
2019-08-28,261.5079345703125,177.6306610107422,145.16000366210938,23.83892059326172
2019-08-29,264.84814453125,180.34664916992188,144.1199951171875,24.03713035583496
2019-08-30,264.73046875,179.91477966308594,143.75,24.154251098632812
2019-09-03,263.1825866699219,178.16810607910156,145.75,24.055147171020508
2019-09-04,266.1697082519531,180.74012756347656,146.66000366210938,24.12722396850586
2019-09-05,269.5914611816406,184.0510711669922,143.13999938964844,24.397506713867188
2019-09-06,269.7997131347656,183.86871337890625,141.9199981689453,24.35245704650879
2019-09-09,269.935546875,183.48484802246097,141.38999938964844,24.307411193847656
2019-09-10,269.8721923828125,182.95704650878903,140.17999267578125,24.325429916381836
2019-09-11,271.7912292480469,184.6748962402344,141.02999877929688,24.5506649017334
2019-09-12,272.7325439453125,185.4426422119141,141.32000732421875,24.721843719482425
2019-09-13,272.551513671875,184.7804412841797,140.14999389648438,24.829957962036133
2019-09-16,271.7096252441406,183.95513916015625,141.32000732421875,24.730854034423828
2019-09-17,272.3976745605469,184.83799743652344,141.60000610351562,24.802928924560547
2019-09-18,272.5606384277344,184.76126098632812,140.7100067138672,24.703826904296875
2019-09-19,272.54254150390625,185.0683135986328,141.27999877929688,24.829957962036133
2019-09-20,271.2547607421875,183.11056518554688,142.9499969482422,24.81193733215332
2019-09-23,271.1911315917969,183.1913604736328,143.75,24.775901794433594
2019-09-24,269.0632019042969,180.75840759277344,144.50999450683594,24.57319068908691
2019-09-25,270.654541015625,182.78749084472656,141.8300018310547,24.595714569091797
2019-09-26,270.0907287597656,182.11436462402344,141.7899932861328,24.649768829345703
2019-09-27,268.6357727050781,179.8544921875,141.05999755859375,24.451560974121097
2019-09-30,269.8816833496094,181.5661468505859,138.8699951171875,24.53264617919922
2019-10-01,266.6715087890625,180.08526611328125,139.6300048828125,24.217313766479492
2019-10-02,261.9607849121094,176.98876953125,141.25999450683594,24.00109100341797
2019-10-03,264.10699462890625,178.9313201904297,141.89999389648438,24.12722396850586
2019-10-04,267.68084716796875,181.5661468505859,141.89999389648438,24.35245704650879
2019-10-07,266.52593994140625,181.01805114746097,140.69000244140625,24.289390563964844
2019-10-08,262.3881530761719,178.30624389648438,141.9199981689453,24.028121948242188
2019-10-09,264.8799133300781,180.04676818847656,142.0500030517578,24.26236343383789
2019-10-10,266.6715087890625,181.4411468505859,140.80999755859375,24.289390563964844
2019-10-11,269.4360046386719,183.77798461914065,140.02999877929688,24.514629364013672
2019-10-14,269.13592529296875,183.75868225097656,140.58999633789062,24.514629364013672
2019-10-15,271.8004455566406,186.09548950195312,139.61000061035156,24.568683624267575
2019-10-16,271.36395263671875,185.6338653564453,140.41000366210938,24.523635864257812
2019-10-17,272.1641540527344,186.12435913085935,140.61000061035156,24.53264617919922
2019-10-18,270.97296142578125,184.33572387695312,140.4600067138672,24.451560974121097
2019-10-21,272.8098449707031,185.9704132080078,139.7899932861328,24.514629364013672
2019-10-22,271.9187316894531,184.48953247070312,140.1999969482422,24.514629364013672
2019-10-23,272.7098083496094,184.84535217285156,140.52999877929688,24.442554473876953
2019-10-24,273.15545654296875,186.64361572265625,141.52999877929688,24.5506649017334
2019-10-25,274.2740783691406,188.13414001464844,141.86000061035156,24.595714569091797
2019-10-28,275.81988525390625,189.9901428222656,140.63999938964844,24.667787551879883
2019-10-29,275.7381286621094,188.518798828125,140.25,24.712833404541016
2019-10-30,276.58392333984375,189.432373046875,141.02000427246094,24.89302444458008
2019-10-31,275.8472595214844,189.5189208984375,142.42999267578125,24.82094955444336
2019-11-01,278.4026794433594,191.24021911621097,142.55999755859375,25.01915168762207
2019-11-04,279.5212097167969,192.42306518554688,142.14999389648438,25.154294967651367
2019-11-05,279.2120056152344,192.52883911132812,139.85000610351562,25.181324005126953
2019-11-06,279.2757263183594,192.0961151123047,140.4499969482422,25.217361450195312
2019-11-07,280.2577819824219,192.7403564453125,138.27000427246094,25.307456970214844
2019-11-08,280.9490051269531,193.5096740722656,137.38999938964844,25.388540267944336
2019-11-11,280.4125061035156,193.25006103515625,137.05999755859375,25.35250473022461
2019-11-12,281.0035705566406,193.8077850341797,137.42999267578125,25.424577713012695
2019-11-13,281.0945129394531,193.8558807373047,137.97999572753906,25.424577713012695
2019-11-14,281.50372314453125,193.70201110839844,138.55999755859375,25.397552490234375
2019-11-15,283.540771484375,195.1252593994141,138.2100067138672,25.55071258544922
2019-11-18,283.75,195.27911376953125,138.6199951171875,25.523679733276367
2019-11-19,283.6680908203125,195.56759643554688,138.69000244140625,25.61377716064453
2019-11-20,282.6131591796875,194.3943634033203,138.75999450683594,25.59575653076172
2019-11-21,282.158447265625,193.961669921875,138.0,25.496652603149418
2019-11-22,282.7859802246094,194.0866546630859,137.74000549316406,25.54170036315918
2019-11-25,284.9776611328125,196.38494873046875,137.0800018310547,25.72188949584961
2019-11-26,285.62322998046875,196.760009765625,137.74000549316406,25.685853958129883
2019-11-27,286.8964538574219,198.1351318359375,137.00999450683594,25.839012145996097
2019-11-28,286.8964538574219,198.1351318359375,137.00999450683594,25.86604118347168
2019-11-29,285.8324279785156,197.2311859130859,137.86000061035156,25.7579288482666
2019-12-02,283.40435791015625,195.2117919921875,137.7899932861328,25.577739715576172
2019-12-03,281.50372314453125,193.68276977539065,139.11000061035156,25.40656089782715
2019-12-04,283.24066162109375,194.66368103027344,138.9199981689453,25.438093185424805
2019-12-05,283.75,195.04827880859375,139.0,25.397552490234375
2019-12-06,286.3416748046875,197.13507080078125,137.6199951171875,25.73990821838379
2019-12-09,285.44140625,196.24072265625,137.5800018310547,25.609272003173828
2019-12-10,285.1231384277344,196.07725524902344,137.97000122070312,25.604766845703125
2019-12-11,285.9324951171875,197.11578369140625,138.9199981689453,25.59575653076172
2019-12-12,288.3969421386719,198.58709716796875,138.42999267578125,25.79396629333496
2019-12-13,288.5697021484375,199.24102783203125,139.0500030517578,25.86604118347168
2019-12-16,290.55224609375,201.24124145507812,139.0399932861328,26.00117874145508
2019-12-17,290.6158447265625,201.3566436767578,139.00999450683594,26.019201278686523
2019-12-18,290.63397216796875,201.5104827880859,139.02000427246094,25.92910385131836
2019-12-19,291.82537841796875,202.77023315429688,139.3800048828125,26.010189056396484
2019-12-20,293.1047058105469,203.5876007080078,139.52000427246094,26.14533233642578
2019-12-23,293.5525817871094,204.12535095214844,139.9499969482422,26.14533233642578
2019-12-24,293.561767578125,204.23133850097656,141.27000427246094,26.17236328125
2019-12-26,295.1243896484375,206.03353881835935,142.3800048828125,26.17236328125
2019-12-27,295.0513000488281,205.8600921630859,142.3300018310547,26.136322021484375
2019-12-30,293.4246520996094,204.51087951660156,142.6300048828125,26.0029296875
2019-12-31,294.1373596191406,204.89633178710935,142.89999389648438,25.90242576599121
2020-01-02,296.88818359375,208.31756591796875,143.9499969482422,26.112567901611328
2020-01-03,294.64007568359375,206.40936279296875,145.86000061035156,25.97551918029785
2020-01-06,295.76409912109375,207.73928833007812,147.38999938964844,26.0029296875
2020-01-07,294.93243408203125,207.71041870117188,147.97000122070312,26.048612594604492
2020-01-08,296.5043640136719,209.27162170410156,146.86000061035156,26.18566131591797
2020-01-09,298.5148620605469,211.0448760986328,146.02999877929688,26.3044376373291
2020-01-10,297.65576171875,210.50518798828125,146.91000366210938,26.258752822875977
2020-01-13,299.7029113769531,212.93374633789065,145.82000732421875,26.43235206604004
2020-01-14,299.2458801269531,212.09535217285156,145.69000244140625,26.468896865844727
2020-01-15,299.92230224609375,212.18206787109375,146.5399932861328,26.42321395874023
