Date,Open,High,Low,Close,Volume
2015-01-02,170.91171340245012,171.32578382923276,169.08979341546532,170.12496948242188,121465900
2015-01-05,169.08150900161831,169.24713463764604,166.74615846984776,167.0525665283203,169632600
2015-01-06,167.3589967812379,167.8807296085199,164.68410512720072,165.4791259765625,209151400
2015-01-07,166.80410819274735,167.88069369402626,166.35691774819225,167.54115295410156,125346700
2015-01-08,168.9490503774883,170.72956120963863,168.93249665478461,170.5142364501953,147217800
2015-01-09,170.92831011812547,170.94487647756347,168.53498295474012,169.14781188964844,158567300
2015-01-12,169.28030541730055,169.43765422966325,167.21822977118725,167.82276916503906,144396100
2015-01-13,169.0401406430063,170.1664129335598,166.05055106093315,167.35073852539062,214553300
2015-01-14,165.33833694878177,166.53915144512624,164.44395583561231,166.34039306640625,192991100
2015-01-15,166.97803739877665,167.2927223172649,164.7006501462518,164.81658935546875,176613900
2015-01-16,164.60961945005315,167.13545247757153,164.4274273866629,166.9781036376953,211879600
2015-01-20,167.61576295504287,167.8807741873434,165.76901173701117,167.33419799804688,130991100
2015-01-21,166.8704144645625,168.6592020890844,166.40665751815214,168.1788787841797,122942700
2015-01-22,168.9324925342067,170.8123635660142,167.55777539756028,170.67987060546875,174356000
2015-01-23,170.42314871014622,170.67988306168206,169.61157398319884,169.74407958984375,117516800
2015-01-26,169.52873956995722,170.23265179616268,168.81653784693114,170.1415557861328,92009700
2015-01-27,168.08779251462758,169.04014968220312,167.0691825456615,167.89732360839844,134044600
2015-01-28,169.0815634381223,169.18093632444723,165.55368697285624,165.74415588378906,168514300
2015-01-29,165.9428918715796,167.53292102009297,164.5350421112368,167.2761993408203,173585400
2015-01-30,166.1002407142217,167.42525868672465,164.9077156934692,165.17271423339844,197729700
2015-02-02,165.66964179128243,167.30935775192052,163.85601062679834,167.21826171875,163107000
2015-02-03,168.11263703970548,169.6447030722255,167.73997608586896,169.63641357421875,124212900
2015-02-04,168.87449351685765,170.0835848102543,168.53495270967596,168.9904327392578,134306700
2015-02-05,169.65297323477577,170.84549834910774,169.57844357423738,170.69642639160156,97953200
2015-02-06,171.0607829977601,171.62392538305807,169.70263242153572,170.224365234375,125672000
2015-02-09,169.57846366744735,170.2989424108796,169.05673070900008,169.4625244140625,87219000
2015-02-10,170.49768765305734,171.52457449325172,169.50390825922682,171.26785278320312,96164200
2015-02-11,171.10215851699624,171.79779370471647,170.45620975176678,171.36715698242188,91087800
2015-02-12,172.16224399290283,173.07320421101406,171.40035573613238,173.01522827148438,97545900
2015-02-13,173.1394439618939,173.77710343007948,172.88270963873737,173.7274169921875,93670400
2015-02-17,173.41274666261336,174.17464761829712,173.16431443405426,174.000732421875,76968200
2015-02-18,173.6280152176981,174.09177207607388,173.363004077811,174.01724243164062,80652900
2015-02-19,173.42103254539876,174.25745051578036,173.28025007334028,173.89306640625,91462500
2015-02-20,173.47897194148132,175.01103783545233,172.8578661957788,174.93650817871094,140896400
2015-02-23,174.68803478245675,174.91163635253906,174.30708442736932,174.91163635253906,74411100
2015-02-24,174.83710431168478,175.6072819264432,174.53897307958917,175.4085235595703,72472300
2015-02-25,175.28436470879205,175.764688108241,174.91998056876656,175.259521484375,73061700
2015-02-26,175.16835315200143,175.32570193265445,174.44786203198112,175.0524139404297,72697900
