Date,Open,High,Low,Close,Volume
2015-01-02,95.41914510659046,95.82377047232987,94.20525497717703,94.6650619506836,31314600
2015-01-05,94.25123202593075,94.3615882260244,93.00975459329223,93.27644348144531,36521300
2015-01-06,93.41440667914641,93.57073940017726,91.61196379405769,92.02578735351562,66205500
2015-01-07,92.6326896658963,93.43274908231174,92.41197732969596,93.21204376220703,37577400
2015-01-08,94.00295461251778,95.18005954029539,93.90179650002764,94.99613952636719,40212600
2015-01-09,95.29041795605607,95.31800525717168,93.81902974629969,94.37080383300781,41410100
2015-01-12,94.55470934333175,94.65586744263395,93.14770107352575,93.38680267333984,34129800
2015-01-13,94.2972173317954,95.29040210332273,92.60512397851573,93.35920715332031,56162300
2015-01-14,92.42120904442966,93.32243387144858,92.02577473503842,92.84423065185547,51354200
2015-01-15,93.27643798355687,93.4235725589117,91.52917017359844,91.6395263671875,51005400
2015-01-16,91.51997606337544,92.83502427594414,91.37284148160073,92.7154769897461,35362200
2015-01-20,93.2764505949454,93.69027409868492,92.22809117044696,93.45117950439453,30964100
2015-01-21,93.17528391691843,94.37078484274979,92.84422233795274,93.92936706542969,40128800
2015-01-22,94.2972119201383,95.76859278457174,93.46955799136406,95.66743469238281,40887200
2015-01-23,95.65822440395395,96.17321290298052,95.38234447356848,95.87893676757812,34783000
2015-01-26,95.76860046386719,95.94332936731294,95.28120617120057,95.76860046386719,19960900
2015-01-27,94.26042539739939,94.31559998662722,92.9729645253374,93.28563690185547,45253200
2015-01-28,94.78462097494638,94.88577908293179,92.78906014668591,92.80744934082031,43591700
2015-01-29,92.73388055794922,93.87420706995117,91.92462269248536,93.69947814941406,46539700
2015-01-30,93.61668766618037,94.3339853077562,92.8442084256473,92.97295379638672,42927600
2015-02-02,93.18447613732508,93.86498844396722,91.73148452316997,93.7822265625,43624700
2015-02-03,94.12249132066026,94.74782912013407,93.5063516256767,94.68345642089844,30750400
2015-02-04,94.29721084651733,95.22602285690552,94.08569656086756,94.6006851196289,34073200
2015-02-05,94.83981274080163,95.48354690960645,94.60071809328248,95.41917419433594,23605500
2015-02-06,95.56630931772622,95.79621287575544,94.49956045684249,94.83981323242188,34169300
2015-02-09,94.47195084695794,94.98693245020067,94.3064200436159,94.53632354736328,22604700
2015-02-10,95.06051191868357,96.1364587304151,94.91337029514827,96.0077133178711,23686500
2015-02-11,96.11803801815579,96.57784495034693,95.93411805171812,96.35713958740234,20303600
2015-02-12,96.9824726365656,97.51585033614592,96.83533807370354,97.47906494140625,22520300
2015-02-13,97.75494538509523,98.33429952745257,97.57101842364325,98.31591033935547,29030200
