Date,Open,High,Low,Close,Volume
2019-02-05,22.910949128605427,22.933473587036133,22.865901918142377,22.933473587036133,5263
2019-02-06,23.073118421771735,23.073118421771735,22.928968713295852,22.969511032104492,11320
2019-02-07,22.965008585789597,22.965008585789597,22.793829508948114,22.838876724243164,12611
2019-02-08,22.78481674194336,22.79382652510265,22.71274188946572,22.78481674194336,19860
2019-02-11,22.874914155199495,22.883923939538214,22.802837586888284,22.838876724243164,12413
2019-02-12,22.992032206490286,23.001041989251387,22.92896713995907,22.978517532348633,31478
2019-02-13,23.154205264194392,23.154205264194392,22.974018111441637,23.010055541992188,6355
2019-02-14,23.11816786272479,23.11816786272479,23.06411257003023,23.082130432128906,3674
2019-02-15,23.181233860131513,23.271328286765932,23.16321429224524,23.244298934936523,7348
2019-02-19,23.289348614173498,23.370433265450174,23.28033882927639,23.32538604736328,17179
2019-02-20,23.33439256453265,23.37042999267578,23.316374703660287,23.37042999267578,12214
2019-02-21,23.352411455756556,23.352411455756556,23.280336596290212,23.316375732421875,18669
2019-02-22,23.38845040598681,23.45151548091897,23.316375547093347,23.3524112701416,12214
2019-02-25,23.514580617076923,23.56863761066422,23.49656105041504,23.49656105041504,10029
2019-02-26,23.523589867981702,23.559627294091452,23.478542658744935,23.487550735473633,13704
2019-02-27,23.424487021914125,23.4425048828125,23.343402381875386,23.4425048828125,14597
2019-02-28,23.43349644035006,23.43349644035006,23.352410095176637,23.361421585083008,23932
2019-03-01,23.5956682892882,23.658733367919922,23.559630857727416,23.658733367919922,17278
2019-03-04,23.739817454230295,23.739817454230295,23.47854565499246,23.577648162841797,20158
2019-03-05,23.640715189945865,23.694770483366593,23.640715189945865,23.685762405395508,9632
2019-03-06,23.748823990159483,23.77585333929287,23.694766998291016,23.694766998291016,19562
2019-03-07,23.64071246451504,23.64071246451504,23.478543190151512,23.49656105041504,15491
2019-03-08,23.307364590433522,23.370429662192596,23.280335239909583,23.361421585083008,12711
2019-03-11,23.478544844225688,23.685761343444067,23.478544844225688,23.667741775512695,8738
2019-03-12,23.712789505885514,23.712789505885514,23.631704861223643,23.640714645385742,18470
2019-03-13,23.71278656437994,23.757833773203945,23.694766998291016,23.694766998291016,11221
2019-03-14,23.775854388169943,23.775854388169943,23.67675018310547,23.67675018310547,6554
2019-03-15,23.847929845659614,23.87495749027014,23.820902201049083,23.829910278320312,12115
2019-03-18,23.910994655975117,23.974061434571688,23.910994655975117,23.965051651000977,10923
2019-03-19,23.97406226417739,24.001089909426394,23.910995483398438,23.910995483398438,18768
2019-03-20,23.874958022345023,23.89297759008591,23.79387338030797,23.83892059326172,11618
2019-03-21,23.856937401905785,24.10019302368164,23.82090168081103,24.10019302368164,8441
2019-03-22,24.001090684280392,24.001090684280392,23.71278953552246,23.71278953552246,26414
2019-03-25,23.712790052105873,23.721799836475512,23.64972326791695,23.685762405395508,9930
2019-03-26,23.820902167383597,23.87495745652826,23.73981582086976,23.757835388183594,9632
2019-03-27,23.847932258908862,23.856940337091647,23.69477104022119,23.766847610473633,6852
2019-03-28,23.80288402341887,23.8569393157959,23.748827024643322,23.8569393157959,30188
2019-03-29,23.929014485889624,23.929014485889624,23.811892417379433,23.829910278320312,13406
2019-04-01,24.001090703097457,24.064157485961914,24.001090703097457,24.064157485961914,9334
2019-04-02,24.1272206677019,24.1272206677019,24.046136029242742,24.10019302368164,12115
2019-04-03,24.208307236833058,24.226326805215923,24.136232376098633,24.136232376098633,12413
2019-04-04,24.181275809588445,24.22632301710335,24.16325624402318,24.208303451538086,13207
2019-04-05,24.34344865395255,24.379486083984375,24.32543079213589,24.379486083984375,3376
2019-04-08,24.325430762040526,24.325430762040526,24.23533633387318,24.307411193847656,47466
2019-04-09,24.262363401959195,24.262363401959195,24.172268975937435,24.190288543701172,21449
2019-04-10,24.29840140975122,24.307411193847656,24.271373763860417,24.307411193847656,8639
2019-04-11,24.343448107880082,24.379485537103513,24.30741067865665,24.33443832397461,41607
2019-04-12,24.42453087318883,24.43354065640189,24.3884934467349,24.406511306762695,9731
2019-04-15,24.415523229975804,24.496607873203725,24.38849558436599,24.47859001159668,13306
2019-04-16,24.56868443882737,24.56868443882737,24.47859001159668,24.47859001159668,36543
2019-04-17,24.61373410328923,24.61373410328923,24.442555015785917,24.48760223388672,56800
2019-04-18,24.56868118478699,24.57768926119818,24.487596552298456,24.55967140197754,15590
2019-04-22,24.523636709350118,24.523636709350118,24.451560145242627,24.505617141723633,20853
2019-04-23,24.604721102491197,24.676795959472656,24.604721102491197,24.676795959472656,1986
2019-04-24,24.73986381853922,24.784911032717662,24.685806820245386,24.730854034423828,18172
2019-04-25,24.70382413584794,24.712833919764112,24.595711848049266,24.685806274414062,21648
2019-04-26,24.70382362081268,24.72184318826935,24.613730902724644,24.712833404541016,8838
2019-04-29,24.748872427275398,24.784911564510224,24.739864349365234,24.739864349365234,28201
2019-04-30,24.766890916862685,24.766890916862685,24.667786706581715,24.685806274414062,27407
2019-05-01,24.757881433055466,24.757881433055466,24.622739791870117,24.622739791870117,28698
2019-05-02,24.622739761049303,24.649769113091633,24.496607904047224,24.5506649017334,22343
2019-05-03,24.667787237025724,24.72184423528671,24.61373194516324,24.69481658935547,16285
2019-05-06,24.55066493246399,24.631749575895505,24.43354285932942,24.622739791870117,35550
2019-05-07,24.55066458970424,24.55066458970424,24.235335804405988,24.29840087890625,40018
2019-05-08,24.298399520985324,24.379484158753357,24.26236209379935,24.343446731567383,8838
2019-05-09,24.127221762926556,24.217316188948317,24.01009969165765,24.190288543701172,14001
2019-05-10,24.082176235330557,24.21731788382122,23.87495972353764,24.154251098632812,16087
2019-05-13,23.920003597780386,23.94703124114299,23.71278711493818,23.73981475830078,55509
2019-05-14,23.956045162983205,24.055149383097653,23.892980082109386,23.992082595825195,11320
2019-05-15,23.901987330665943,24.05514854792508,23.86595160547372,24.046138763427734,29691
2019-05-16,24.10919925372564,24.289388083785266,24.10919925372564,24.208303451538086,4667
2019-05-17,24.118211399083915,24.235335173934853,24.064156109889474,24.073165893554688,24329
2019-05-21,24.037128992382737,24.082176208496094,24.01010134527415,24.082176208496094,24229
2019-05-22,24.010101318359375,24.010101318359375,23.93802645521823,24.010101318359375,13306
2019-05-23,23.89297842307678,23.89297842307678,23.703779780795237,23.78486442565918,24329
2019-05-24,23.91099407151114,23.91099407151114,23.811891573850925,23.847929000854492,8043
2019-05-27,23.847932009665733,23.978567059136047,23.847932009665733,23.974063873291016,7150
2019-05-28,23.974061697839453,24.010099126119634,23.829910278320312,23.829910278320312,13406
