0,LSTM-adjusted Portfolio,Historical Portfolio,SPY Buy-and-Hold
2024-02-26,-0.002120353632415364,-0.0010476149484671341,-0.0036624911534253
2024-02-27,0.001722137731717209,0.0013410701872910873,0.0018576843718891
2024-02-28,-0.002097686842026946,-0.0032047274418368007,-0.001321585031084
2024-02-29,0.006376591188752771,0.007494085978062698,0.0035948971649064
2024-03-01,0.01365013600814962,0.01641310075891163,0.0093882761990038
2024-03-04,0.004002548337728732,0.003701438674397375,-0.0010723336034854
2024-03-05,-0.005953974750031352,-0.009209018623176711,-0.009994217578793
2024-03-06,0.005934340836387111,0.006760194176769302,0.0050672161354585
2024-03-07,0.008862322972725878,0.01082868638963072,0.0099265353828172
2024-03-08,-0.0015460320415570826,-0.005104815856438333,-0.0060022566175151
2024-03-11,-0.0015404047239784319,-0.0012034234575801217,-0.0008598592433949
2024-03-12,0.005894232194752068,0.0047196861120113,0.0107573064764878
2024-03-13,-0.00046314880860188026,-0.0007064501629782112,-0.0015673244109715
2024-03-14,-0.0025420537962222317,-0.002614843617947383,-0.001976847042007
2024-03-15,-0.004743390065948207,-0.006090660052338518,-0.0068667211831087
2024-03-18,0.004073298244009689,0.004705995463933399,0.0059432741977654
2024-03-19,0.004018054739725271,0.003972735894879849,0.0055570109743179
2024-03-20,0.006278472781583876,0.00917946353669134,0.0092493367547434
2024-03-21,0.004085112357209559,0.0029060791811433033,0.0033046484419105
2024-03-22,-0.0008384710966905771,-0.001887270261888318,-0.0018957908283447
2024-03-25,-0.001813857567182252,-0.0017161767330416355,-0.0027628115075222
2024-03-26,-0.001316006508646491,-0.001160875223085806,-0.0018469170456447
2024-03-27,0.006482523622151955,0.0065172575917252,0.0084036600819488
2024-03-28,0.0024205821074488026,0.002633124526999293,-0.0001907871268582
2024-04-01,0.0020728188571716368,0.002078129773244658,-0.0017400022482874
2024-04-02,-0.0030415769886990877,-0.0019378436830732406,-0.0063580820974036
2024-04-03,0.0018924829184733907,0.0031045577609207396,0.0010984840474292
2024-04-04,-0.00820664582199921,-0.009379550008379225,-0.0122060820848969
2024-04-05,0.012157776239329647,0.01309266418544545,0.0104467606122256
2024-04-08,0.0016949301165539335,0.00236824130195142,0.0005594447760834
2024-04-09,0.0025026646355746462,0.0036976535419863247,0.001156652290422
2024-04-10,-0.007073745433652138,-0.00767176751598291,-0.0100129593070295
2024-04-11,0.014170213222995784,0.01375805122829541,0.0075469275152026
2024-04-12,-0.012741175909688887,-0.013456220670005625,-0.0138031041580519
2024-04-15,-0.003618946672347011,-0.0009028726789846609,-0.0125281004450972
2024-04-16,-8.703258096331575e-05,-6.648102707229836e-05,-0.0018238107475504
2024-04-17,-0.007943407473092419,-0.00957856810827026,-0.0059182401416468
2024-04-18,-0.0009809081900246795,-0.0011579078096075161,-0.0020577890876725
2024-04-19,-0.006785231489630537,-0.008489089541955106,-0.008728247984074
2024-04-22,-0.0030768866467656857,-0.006296728999907848,0.0092090806834812
2024-04-23,0.007551094680255235,0.006534499057923293,0.0118666089487031
