Ticker,Baseline_MAE,Baseline_RMSE,Baseline_Directional Accuracy,LSTM_MAE,LSTM_RMSE,LSTM_Directional Accuracy
SPY,0.0058696939067929,0.0080471889196283,0.5898617511520737,0.007493579,0.009385901,0.4470046082949309
QQQ,0.0085855331056039,0.0115971529766159,0.5622119815668203,0.008608261,0.0115917325,0.5622119815668203
GLD,0.0077019260887586,0.0100079229537455,0.5668202764976958,0.007942779,0.010195839,0.4470046082949309
VEQT,0.004751495601697,0.0063348008365087,0.5069124423963134,0.0051652296,0.006712663,0.5391705069124424
