Portfolio,Total Return,Ann. Return,Ann. Volatility,Sharpe Ratio,Max Drawdown
LSTM-adjusted Portfolio,0.21887491341643028,0.2584139263161378,0.10158043309246244,2.0517133070936153,-0.055759584081068514
Historical Portfolio,0.18109819240301617,0.2132352998345337,0.10342404596824778,1.5783109073556123,-0.0652183106796792
SPY Buy-and-Hold,0.1992401995469133,0.23490338452065584,0.1252234187656049,1.4765878966039159,-0.08405610632204485
