Ticker,MAE,RMSE,Directional Accuracy
SPY,0.005869693906792997,0.00804718891962839,0.5898617511520737
QQQ,0.008585533105603978,0.011597152976615916,0.5622119815668203
GLD,0.0077019260887586346,0.010007922953745595,0.5668202764976958
VEQT,0.0047514956016970426,0.006334800836508748,0.5069124423963134
