epoch,train_loss,val_loss
0,0.0013796555299666665,8.770529071895268e-05
1,0.00043085222187939855,8.10048298229015e-05
2,0.00034502013734290525,8.681033418893262e-05
3,0.00030793607353218016,8.11457112259059e-05
4,0.0002849714064578866,7.719659791931647e-05
5,0.00026183066813881316,7.038287973652284e-05
6,0.0002483771280071417,7.366863051343157e-05
7,0.00022987597936113913,6.549912062904764e-05
8,0.00022813629697165672,6.877911437186413e-05
9,0.00022787745859074806,7.398635056300986e-05
10,0.0002099909241743652,6.551679419957239e-05
11,0.00020816198842126934,7.0862623100833e-05
12,0.0002051511481921706,8.22825386421755e-05
13,0.0002036729433928572,7.046941782054664e-05
14,0.00020560433617829982,8.811357892463329e-05
15,0.00019516141326185167,6.81684695235971e-05
16,0.0001875560528354808,6.72807700875974e-05
17,0.00019695765721345588,7.101820530671696e-05
18,0.0001891897275253007,6.827370358493042e-05
19,0.00018106537223387036,6.770919814395408e-05
20,0.0001911432394528732,6.837567262765433e-05
21,0.00017823358200350038,6.778408283867907e-05
22,0.00018658124948463714,6.803316635476356e-05
